project_id,simulation_id,npv,rnd
p_761841,566,67,11
p_761841,567,62,12
p_761841,568,59,11
p_761841,637,64,11
p_761841,614,48,12
p_761841,572,65,9
p_761841,573,47,7
p_761841,574,33,8
p_761841,575,34,10
p_761841,576,47,16
p_761841,577,64,9
p_761841,579,65,12
p_761841,582,31,8
p_761841,569,59,13
p_761841,595,52,8
p_761841,585,36,8
p_761841,586,56,11
p_761841,587,74,10
p_761841,588,34,9
p_761841,589,76,12
p_761841,591,62,9
p_761841,592,77,14
p_761841,593,51,12
p_761841,612,49,13
p_761841,584,40,11
p_761841,600,67,8
p_761841,601,32,8
p_761841,602,59,9
p_761841,603,35,11
p_761841,606,80,13
p_761841,608,43,9
p_761841,609,29,9
p_761841,611,47,12
p_761841,594,36,10
p_761841,627,52,11
p_761841,616,50,14
p_761841,617,39,9
p_761841,618,66,14
p_761841,619,77,10
p_761841,620,38,8
p_761841,621,54,15
p_761841,622,74,11
p_761841,625,40,11
p_761841,583,46,10
p_761841,560,43,12
p_761841,628,50,11
p_761841,630,63,14
p_761841,631,64,10
p_761841,632,43,12
p_761841,633,77,14
p_761841,634,57,12
p_761841,635,59,7
p_761841,636,28,11
p_761841,626,59,12
p_761841,653,49,12
p_761841,641,46,9
p_761841,644,67,12
p_761841,645,47,10
p_761841,646,60,14
p_761841,648,56,10
p_761841,649,42,7
p_761841,650,45,14
p_761841,664,53,7
p_761841,652,68,10
p_761841,640,41,13
p_761841,656,72,7
p_761841,657,51,13
p_761841,658,66,9
p_761841,659,43,11
p_761841,660,46,11
p_761841,661,35,12
p_761841,663,60,9
p_761841,651,67,14
p_761841,719,47,11
p_761841,679,57,14
p_761841,669,78,8
p_761841,670,59,11
p_761841,671,45,13
p_761841,672,37,8
p_761841,674,66,13
p_761841,675,34,10
p_761841,676,64,13
p_761841,535,44,13
p_761841,678,40,11
p_761841,720,45,9
p_761841,680,47,12
p_761841,681,62,16
p_761841,682,68,8
p_761841,683,36,11
p_761841,684,32,9
p_761841,685,35,9
p_761841,686,50,8
p_761841,677,66,8
p_761841,639,57,10
p_761841,704,32,11
p_761841,690,32,13
p_761841,695,57,8
p_761841,696,61,8
p_761841,697,49,12
p_761841,698,36,9
p_761841,699,49,11
p_761841,700,36,10
p_761841,701,51,9
p_761841,718,58,10
p_761841,689,30,8
p_761841,705,44,13
p_761841,706,51,8
p_761841,707,71,7
p_761841,710,43,9
p_761841,712,40,8
p_761841,713,59,13
p_761841,715,66,11
p_761841,716,38,12
p_761841,703,64,9
p_761841,733,32,10
p_761841,721,62,16
p_761841,723,71,13
p_761841,726,57,11
p_761841,727,35,9
p_761841,728,30,13
p_761841,729,76,9
p_761841,730,65,10
p_761841,688,21,12
p_761841,732,49,12
p_761841,734,48,13
p_761841,735,58,12
p_761841,736,66,10
p_761841,737,47,14
p_761841,739,43,8
p_761841,740,45,10
p_761841,741,84,8
p_761841,731,41,13
p_761841,758,58,12
p_761841,748,47,13
p_761841,749,77,12
p_761841,750,76,8
p_761841,751,59,10
p_761841,752,60,9
p_761841,753,52,13
p_761841,755,59,10
p_761841,772,66,9
p_761841,757,50,11
p_761841,746,71,15
p_761841,762,56,9
p_761841,763,59,13
p_761841,765,77,8
p_761841,767,66,14
p_761841,768,60,8
p_761841,770,79,11
p_761841,771,52,11
p_761841,756,54,13
p_761841,829,72,9
p_761841,787,72,7
p_761841,775,62,10
p_761841,777,37,10
p_761841,780,33,9
p_761841,781,68,11
p_761841,782,40,8
p_761841,783,55,9
p_761841,784,42,9
p_761841,862,77,8
p_761841,786,39,8
p_761841,831,49,8
p_761841,788,70,9
p_761841,790,27,16
p_761841,791,92,14
p_761841,792,85,10
p_761841,794,73,8
p_761841,796,50,8
p_761841,799,40,14
p_761841,785,48,15
p_761841,745,44,9
p_761841,819,44,8
p_761841,805,32,14
p_761841,807,40,11
p_761841,809,57,14
p_761841,810,41,10
p_761841,811,63,10
p_761841,813,47,10
p_761841,814,77,10
p_761841,828,73,13
p_761841,818,54,14
p_761841,802,35,8
p_761841,820,67,10
p_761841,821,43,11
p_761841,822,48,9
p_761841,824,29,8
p_761841,825,41,8
p_761841,826,61,10
p_761841,827,59,14
p_761841,817,54,7
p_761841,851,35,13
p_761841,832,50,9
p_761841,835,46,10
p_761841,838,51,8
p_761841,839,44,9
p_761841,842,45,8
p_761841,844,34,10
p_761841,845,65,15
p_761841,800,70,8
p_761841,848,38,10
p_761841,774,34,14
p_761841,852,44,12
p_761841,853,46,12
p_761841,855,70,7
p_761841,857,59,9
p_761841,858,55,11
p_761841,859,75,9
p_761841,860,82,11
p_761841,847,68,7
p_761841,801,76,13
p_761841,878,47,10
p_761841,865,50,10
p_761841,866,42,8
p_761841,868,39,9
p_761841,869,53,12
p_761841,872,72,12
p_761841,873,46,10
p_761841,874,47,11
p_761841,888,69,13
p_761841,876,49,12
p_761841,864,34,13
p_761841,879,66,14
p_761841,881,43,10
p_761841,882,41,14
p_761841,883,68,10
p_761841,884,38,10
p_761841,885,59,13
p_761841,887,43,15
p_761841,875,67,9
p_761841,942,26,10
p_761841,899,72,9
p_761841,890,33,12
p_761841,891,55,13
p_761841,892,64,10
p_761841,893,43,12
p_761841,894,30,10
p_761841,895,61,9
p_761841,896,34,10
p_761841,898,29,11
p_761841,943,31,9
p_761841,900,53,15
p_761841,902,36,7
p_761841,903,40,13
p_761841,904,42,10
p_761841,905,62,12
p_761841,906,46,15
p_761841,907,29,16
p_761841,897,28,12
p_761841,863,34,9
p_761841,930,67,14
p_761841,915,81,9
p_761841,916,55,10
p_761841,920,73,10
p_761841,921,35,9
p_761841,922,61,11
p_761841,923,59,11
p_761841,926,41,10
p_761841,941,82,10
p_761841,929,65,10
p_761841,913,59,9
p_761841,931,36,12
p_761841,932,32,11
p_761841,934,38,13
p_761841,935,50,13
p_761841,936,45,13
p_761841,938,67,11
p_761841,940,60,11
p_761841,927,57,9
p_761841,773,30,8
p_761841,960,79,9
p_761841,944,51,10
p_761841,945,59,12
p_761841,946,52,11
p_761841,947,80,13
p_761841,948,30,13
p_761841,952,65,10
p_761841,954,39,12
p_761841,908,28,14
p_761841,958,44,10
p_761841,962,34,11
p_761841,963,74,11
p_761841,964,71,14
p_761841,965,47,13
p_761841,966,78,11
p_761841,967,67,11
p_761841,968,66,11
p_761841,957,41,10
p_761841,909,56,10
p_761841,987,46,11
p_761841,973,65,14
p_761841,975,43,7
p_761841,978,48,13
p_761841,980,36,10
p_761841,981,43,15
p_761841,982,45,7
p_761841,984,38,11
p_761841,985,46,12
p_761841,997,61,12
p_761841,972,64,10
p_761841,988,68,7
p_761841,989,39,11
p_761841,990,63,14
p_761841,991,31,12
p_761841,993,50,13
p_761841,994,76,10
p_761841,995,53,12
p_761841,996,53,8
p_761841,986,36,12
p_761841,999,68,13
p_761841,1000,42,8
p_761841,998,76,13
p_761841,971,60,11
p_761841,889,33,8
p_761841,744,44,14
p_857195,545,88,24
p_857195,47,238,28
p_857195,55,309,22
p_857195,10,99,24
p_857195,46,218,29
p_857195,12,166,30
p_857195,13,246,18
p_857195,18,240,24
p_857195,20,214,15
p_857195,24,225,21
p_857195,31,344,34
p_857195,33,100,15
p_857195,41,276,27
p_857195,5,290,27
p_857195,97,195,25
p_857195,59,153,15
p_857195,60,313,30
p_857195,62,185,29
p_857195,70,199,26
p_857195,82,162,29
p_857195,85,189,28
p_857195,86,256,19
p_857195,94,196,20
p_857195,550,216,27
p_857195,103,149,20
p_857195,105,187,24
p_857195,114,188,23
p_857195,116,222,21
p_857195,119,114,16
p_857195,128,120,29
p_857195,129,113,28
p_857195,93,59,28
p_857195,206,164,24
p_857195,173,142,25
p_857195,174,355,30
p_857195,179,184,28
p_857195,184,317,28
p_857195,185,168,17
p_857195,186,248,26
p_857195,217,147,15
p_857195,195,109,29
p_857195,202,248,33
p_857195,169,144,22
p_857195,207,203,22
p_857195,209,247,27
p_857195,211,250,21
p_857195,212,127,17
p_857195,214,208,30
p_857195,216,200,25
p_857195,192,119,24
p_857195,406,206,26
p_857195,412,96,25
p_857195,282,204,19
p_857195,228,124,29
p_857195,237,351,25
p_857195,248,274,16
p_857195,258,217,24
p_857195,265,160,27
p_857195,268,271,19
p_857195,486,260,21
p_857195,274,225,28
p_857195,279,231,28
p_857195,414,223,15
p_857195,285,95,24
p_857195,286,241,28
p_857195,289,188,22
p_857195,291,199,30
p_857195,301,88,23
p_857195,305,119,20
p_857195,273,246,29
p_857195,139,158,28
p_857195,142,232,26
p_857195,367,160,16
p_857195,339,182,22
p_857195,340,227,28
p_857195,349,168,19
p_857195,353,270,25
p_857195,354,185,17
p_857195,358,120,17
p_857195,359,271,33
p_857195,401,197,28
p_857195,362,114,30
p_857195,335,252,30
p_857195,372,233,24
p_857195,382,231,21
p_857195,383,229,19
p_857195,384,180,17
p_857195,385,290,17
p_857195,387,75,32
p_857195,393,339,18
p_857195,361,294,19
p_857195,460,197,17
p_857195,418,150,28
p_857195,428,155,36
p_857195,429,139,26
p_857195,432,215,15
p_857195,437,113,30
p_857195,440,375,16
p_857195,324,306,26
p_857195,443,247,24
p_857195,456,289,30
p_857195,222,211,25
p_857195,463,336,16
p_857195,471,157,29
p_857195,476,157,22
p_857195,477,254,24
p_857195,481,66,17
p_857195,485,371,21
p_857195,442,273,20
p_857195,332,123,28
p_857195,521,273,26
p_857195,501,118,24
p_857195,502,304,20
p_857195,506,247,26
p_857195,507,251,32
p_857195,509,343,19
p_857195,510,268,29
p_857195,541,167,15
p_857195,513,247,22
p_857195,514,194,34
p_857195,495,335,17
p_857195,530,218,20
p_857195,531,158,17
p_857195,534,108,32
p_857195,535,219,16
p_857195,536,318,23
p_857195,539,349,22
p_857195,511,181,23
p_857195,678,235,30
p_857195,683,162,23
p_857195,578,187,23
p_857195,555,318,20
p_857195,556,313,21
p_857195,562,238,23
p_857195,568,164,26
p_857195,569,343,24
p_857195,570,244,24
p_857195,138,162,15
p_857195,574,276,17
p_857195,576,374,19
p_857195,687,327,25
p_857195,579,212,20
p_857195,585,265,21
p_857195,586,136,22
p_857195,588,212,28
p_857195,593,323,27
p_857195,601,110,22
p_857195,572,171,24
p_857195,491,173,29
p_857195,493,53,19
p_857195,653,314,28
p_857195,616,267,28
p_857195,630,257,36
p_857195,632,330,22
p_857195,639,217,34
p_857195,641,122,27
p_857195,642,120,18
p_857195,648,166,19
p_857195,674,291,22
p_857195,652,297,24
p_857195,614,171,32
p_857195,657,215,19
p_857195,658,289,18
p_857195,665,156,20
p_857195,668,325,23
p_857195,670,161,36
p_857195,671,155,25
p_857195,672,207,29
p_857195,651,331,20
p_857195,219,259,16
p_857195,720,178,23
p_857195,688,104,28
p_857195,692,265,19
p_857195,694,306,27
p_857195,698,282,20
p_857195,701,337,20
p_857195,705,256,30
p_857195,607,127,15
p_857195,707,108,30
p_857195,714,125,26
p_857195,727,184,31
p_857195,728,151,28
p_857195,732,198,19
p_857195,738,223,20
p_857195,743,233,27
p_857195,744,182,19
p_857195,706,221,20
p_857195,609,229,25
p_857195,795,312,27
p_857195,759,261,24
p_857195,763,213,20
p_857195,765,300,18
p_857195,780,209,18
p_857195,782,307,29
p_857195,783,256,30
p_857195,784,187,27
p_857195,828,250,21
p_857195,793,260,30
p_857195,750,173,22
p_857195,797,193,16
p_857195,806,222,25
p_857195,808,272,25
p_857195,810,136,26
p_857195,814,208,15
p_857195,818,110,16
p_857195,825,309,24
p_857195,786,113,25
p_857195,959,154,19
p_857195,862,148,18
p_857195,835,190,22
p_857195,840,185,25
p_857195,842,177,23
p_857195,844,150,15
p_857195,848,231,20
p_857195,853,147,26
p_857195,854,393,27
p_857195,856,216,27
p_857195,961,233,26
p_857195,868,194,20
p_857195,871,287,20
p_857195,886,233,27
p_857195,887,371,29
p_857195,888,133,22
p_857195,893,225,15
p_857195,894,320,21
p_857195,855,137,18
p_857195,749,188,20
p_857195,928,252,24
p_857195,899,203,16
p_857195,903,194,22
p_857195,904,323,29
p_857195,907,147,32
p_857195,908,210,27
p_857195,911,201,17
p_857195,923,239,20
p_857195,957,329,22
p_857195,925,289,20
p_857195,898,348,15
p_857195,936,124,15
p_857195,945,310,21
p_857195,946,298,16
p_857195,949,208,19
p_857195,951,295,25
p_857195,953,96,29
p_857195,955,148,23
p_857195,924,235,21
p_857195,968,287,21
p_857195,971,238,30
p_857195,972,209,16
p_857195,977,111,17
p_857195,980,196,20
p_857195,985,213,18
p_857195,988,200,21
p_857195,895,212,27
p_857195,998,158,25
p_857195,829,118,17
p_857195,993,139,29
p_857195,897,319,25
p_857195,747,373,27
p_857195,575,113,27
p_857195,149,135,22
p_857195,8,308,26
p_857195,0,329,22
p_857195,1,168,27
p_857195,2,276,16
p_857195,3,114,27
p_857195,4,78,17
p_857195,6,201,25
